pubmed_id,title,abstract
25030773,Insights into the role of thrombin in the pathogenesis of recurrent ischaemia after acute coronary syndrome.,"Acute coronary syndrome (ACS) is a medical emergency. Patients who survive the initial event remain at risk of recurrent cardiovascular events. In most cases, ACS is triggered by thrombosis after rupture of an atherosclerotic plaque. Key to thrombus formation at this site is the generation of thrombin, which not only converts fibrinogen to fibrin but also serves as a potent platelet agonist and induces platelet aggregation at the site of vascular injury. Although dual antiplatelet therapy is more effective for the prevention of recurrent events than aspirin alone after ACS, there remains an approximately 10 % risk of recurrent ischaemic events at one year. Recent studies have evaluated whether the addition of an anticoagulant to antiplatelet therapy reduces the risk of recurrent ischaemia after an ACS event. Rivaroxaban, an oral factor Xa inhibitor, attenuates thrombin generation. When used in conjunction with dual antiplatelet therapy in patients with stabilised ACS, rivaroxaban 2.5 mg twice daily significantly reduced the risk of the composite endpoint of cardiovascular death, myocardial infarction and stroke compared with placebo. Although it increased the risk of bleeding, rivaroxaban was associated with a reduction in mortality; a finding that supports the use of a dual-pathway approach that combines anticoagulant and antiplatelet therapy. This review explores the pathophysiology of ACS to provide perspective on the results of recent clinical trials with novel oral anticoagulants for ACS and to identify their potential role in this setting."
24909909,Management of Hepatocellular Adenoma: Recent Advances.,"Hepatocellular adenoma (HCA) is a rare benign liver cell neoplasm that occurs more frequently in young women with a history of prolonged use of oral contraceptives. Surgical resection is considered because of the risk of hemorrhage in 25% and of malignant transformation in 5% of patients with HCA. HCA is a heterogeneous disease comprising 3 subtypes with distinct molecular and complication profiles. The inflammatory or telangiectatic subtype is at increased risk for hemorrhage, the β-catenin-activated subtype is at increased risk for malignant transformation, and the hepatocyte nuclear factor-1α-inactivated or steatotic subtype is at the least risk for complications. One-third of the patients with HCA have multiple tumors on imaging with no increased risk of complications. Magnetic resonance imaging is the modality of choice for the diagnosis and subtype characterization of HCA. Systematic resection of HCA is recommended in male patients owing to the higher incidence of malignant transformation, and surgical excision in women should be reserved for tumors 5 cm or larger associated with an increased risk of complications. Cessation of hormonal therapy and radiologic surveillance in women with HCA tumors smaller than 5 cm shows that the vast majority of HCA remain stable or undergo spontaneous regression. Percutaneous core needle biopsy is of limited value because the therapeutic strategy is based primarily on patient sex and tumor size. Transarterial embolization is the initial treatment for HCA complicated by hemorrhage. Pregnancy should not be discouraged in the presence of HCA, however, frequent sonographic surveillance is recommended."
24852230,Advances in understanding spontaneous intracerebral hemorrhage: insights from neuroimaging.,"Spontaneous (non-traumatic) symptomatic intracerebral hemorrhage is a devastating form of stroke, with very high overall mortality and morbidity. Even with the best current medical or surgical treatment, outcomes still remain poor. By contrast with ischemic stroke, the incidence of intracerebral hemorrhage is not decreasing. Indeed, the incidence of intracerebral hemorrhage related to antithrombotic drugs, including oral anticoagulants, has increased in recent decades. Despite the clear unmet research need for both prevention and acute treatment, there has, until recently, been limited progress in understanding the pathogenesis of this disease. New advances, especially related to neuroimaging biomarkers, are rapidly increasing our understanding of the spectrum of mechanisms of brain injury in intracerebral hemorrhage. The aim of this article is to review recent insights from neuroimaging studies into the pathophysiology and causes of intracerebral hemorrhage, focusing on MRI. We also discuss some of the current and future challenges facing clinicians in understanding and treating intracerebral hemorrhage."
24841749,An international comparison of spontaneous adverse event reports and potentially inappropriate medicine use associated with dabigatran.,"The objective of this study was to analyse spontaneous adverse event (SAE) reports associated with the oral anticoagulant dabigatran from Australia, Canada and USA and to examine concomitant medicine use.
Spontaneous adverse event national databases from Australia, Canada and the USA were used to examine all reports of adverse events associated with dabigatran from 1st August 2005 to 31st March 2013. Disproportionality analysis was conducted for the quantitative detection of signals using the USA database. Concomitant medicine use was examined to identify potentially inappropriate medicines, which may place the patient at increased risk for adverse events.
There were a total of 1039, 1333 and 13 788 SAE reports associated with dabigatran from Australia, Canada and USA, respectively. Gastrointestinal (GI) disorders were the most commonly reported adverse event, ranging from 27.5% for Australia and up to 40.5% for USA. Of these, GI haemorrhage accounted for 81.5% of Australian, 71.5% of Canadian and 42% of the USA adverse event reports for GI disorders. Positive signals were confirmed in the USA data (GI haemorrhage; PRR 18.18, χ2 40993.51 and ROR 19.55 95% CI 18.77-20.36). Use of concomitant medicines with the potential to increase bleeding risk across all three countries ranged from 34.1% for Australia to 51.1% for the USA.
A large proportion of adverse events were associated with concomitant therapies, which may have placed the patient at increased risk of harm. This highlights the need for pharmacovigilance by the prescribing clinician to minimise risk and ensure the safe and effective integration of dabigatran into routine clinical practice."
24762109,"Effects of low-dose estrogen replacement during childhood on pubertal development and gonadotropin concentrations in patients with Turner syndrome: results of a randomized, double-blind, placebo-controlled clinical trial.","The optimal approach to estrogen replacement in girls with Turner syndrome has not been determined.
The aim of the study was to assess the effects of an individualized regimen of low-dose ethinyl estradiol (EE2) during childhood from as early as age 5, followed by a pubertal induction regimen starting after age 12 and escalating to full replacement over 4 years.
This study was a prospective, randomized, double-blind, placebo-controlled clinical trial.
The study was conducted at two US pediatric endocrine centers.
Girls with Turner syndrome (n = 149), aged 5.0-12.5 years, were enrolled; data from 123 girls were analyzable for pubertal onset.
Interventions comprised placebo or recombinant GH injections three times a week, with daily oral placebo or oral EE2 during childhood (25 ng/kg/d, ages 5-8 y; 50 ng/kg/d, ages >8-12 y); after age 12, all patients received escalating EE2 starting at a nominal dosage of 100 ng/kg/d. Placebo/EE2 dosages were reduced by 50% for breast development before age 12 years, vaginal bleeding before age 14 years, or undue advance in bone age.
The main outcome measures for this report were median ages at Tanner breast stage ≥2, median age at menarche, and tempo of puberty (Tanner 2 to menarche). Patterns of gonadotropin secretion and impact of childhood EE2 on gonadotropins also were assessed.
Compared with recipients of oral placebo (n = 62), girls who received childhood low-dose EE2 (n = 61) had significantly earlier thelarche (median, 11.6 vs 12.6 y, P < 0.001) and slower tempo of puberty (median, 3.3 vs 2.2 y, P = 0.003); both groups had delayed menarche (median, 15.0 y). Among childhood placebo recipients, girls who had spontaneous breast development before estrogen exposure had significantly lower median FSH values than girls who did not.
In addition to previously reported effects on cognitive measures and GH-mediated height gain, childhood estrogen replacement significantly normalized the onset and tempo of puberty. Childhood low-dose estrogen replacement should be considered for girls with Turner syndrome."
24726039,Rupture of a cerebellar arteriovenous malformation following thrombosis of the ipsilateral transverse sinus.,
24558941,[Anesthesia in a neonate with capillary hemangioma of the maxilla: a case report].,"A 21-day-old female neonate weighing 3.2 kg was scheduled for surgical excision of a maxillary tumor under general anesthesia. The lesion was present since birth, with gradual enlargement since then. Preoperatively, the lesion measured 25 mm in diameter, although it was not known whether it was benign or malignant. The oral surgeon anticipated that the surgery would require 30 minutes for completion and would involve minimal bleeding. Hence, blood products were not prepared preoperatively. A good intravenous access was secured before induction of general anesthesia, which was achieved with IV thiopental. When it was ascertained that the patient could be easily ventilated by a bag and mask, rocuronium bromide was administered, together with inhalation of sevoflurane. However, the glottis could not be completely visualized on laryngoscopy for tracheal intubation with Cormack and Lehane scores of grade III. Hence, after discussion with the surgeon, we inserted a flexible laryngeal mask for airway management. During the surgery, unexpected massive hemorrhage occurred after incision of the tumor, followed by a severe drop in blood pressure. The amount of blood loss was 100 cc. For this catastrophic hypovolemia, we urgently transfused red cell concentrate (RCC). The surgical procedure lasted for 27 minutes and at the end of the surgery we successfully intubated the patient's trachea with a spiral tube using a guide wire and bronchofiber. After adequate blood transfusion to restore the patient's blood volume, a nasogastric tube was inserted and the patient was extubated in a fully awake state with establishment of adequate spontaneous breathing. Postoperatively, histopathologic examination revealed that the tumor was a jawbone medullary hemangioma."
24516916,The impact of bacterial infections on survival of patients with decompensated cirrhosis.,"INTRODUCTION. Bacterial infection in cirrhotic patients is a severe complication that requires early recognition and specific therapeutic care. MATERIAL AND METHODS. In this review the various aspects of diagnosis and management of infections that may impact survival in cirrhosis are analyzed. RESULTS. Active search for infections allows early detection and its treatment with suitable antibiotics has reduced mortality rates in spontaneous bacterial peritonitis, the main infection in patients with decompensated cirrhosis. Other common infections, such as bacteremia and septicemia or urinary tract, lung, skin and soft tissue infections must be thoroughly investigated so that antibiotic treatment can be started early. As intestinal bacterial translocation is one of the most important mechanisms for development of bacterial infections, selective intestinal decontamination is able to prevent these infections in populations at risk. After the first episode of spontaneous bacterial peritonitis, poorly absorbed oral antibiotics, such as quinolones, must be started and continued. Moreover, when there is upper gastrointestinal bleeding, infection prevention should be based on oral administration of quinolones or intravenous administration of cephalosporins, both for seven days, to avoid morbidity and early lethality. With the advent of resistance to commonly used antibiotics and recent reports of multiresistant bacteria, there is a need for stricter control when administering antibiotics to cirrhotic patients. CONCLUSION. Existing knowledge of therapy and prophylaxis for bacterial infections in cirrhotic patients, which undoubtedly improve survival, should be disseminated and applied in clinical practice for the benefit of the population at large."
24505955,The chorionic bump associated with acrania--case report.,"The chorionic bump is a rare abnormality of the gestational sac, presenting as a convex bulge from the choriodecidual surface into the sac, correlated with poor prognosis for the pregnancy We report a case of a 36-year-old pregnant woman, with a history of spontaneous abortion, who presented for an early scan a 6 weeks and 4 days of gestation. The pregnancy was spontaneous and unplanned. The patient conceived in less than 3 months after discontinuing oral contraceptives. No folic acid was taken before or in the pregnancy An ultrasound scan revealed a chorionic bump with a hypoechoic center and echogenic border, measuring 18.3 x 14.7 x 21.9 mm. No motion within the chorionic bump was detected upon color and power Doppler examination. The second scan was performed a week later at 7+4 wks. The chorionic bump had not changed in terms of size and sonographic appearance. An acranial fetus of CRL 45.5 mm was diagnosed at 11 + 2 wks. The concentration of free beta-hCG was 17.2 IU/L, corresponding to 0.37 MoM and PAPP-A levels were 1.31 IU/L, corresponding to 0.82 MoM. After counseling the patient opted for termination of pregnancy Very few cases of chorionic bumps have been described so far and, to the best of our knowledge, its coexistence with neural tube defects has been reported for the first time. We postulate a possibility of an underlying pathological mechanism for such coexistence. The chorionic bump is a focal convex bulge with irregular borders, protruding from the choriodecidual surface into the gestational sac and with different degrees of echogenicity usually a hypoechoic middle and echogenic border The chorionic bump might represent the following: a hematoma, an area of hemorrhage, a non-embryonic gestation, or a demise of an embryo in a twin pregnancy The presence of the bump is associated with a four-fold increase in the spontaneous abortion rate as compared with the general population. Decreased folate levels increase the incidence of neural tube defects. Oxidative stress resulting from folic acid deficiency may be responsible for neural tube defects through impairment of factors inhibiting apoptosis in the neuroepithelium. Fetuses with neural tube defects are at an increased risk of being aborted spontaneously Furthermore, women who deliver children with neural tube defects frequently have a history of miscarriage. Our patient did not take any folic acid and also had a history of spontaneous miscarriage. In the case we herein presented, the coexistence of acrania and placental pathology could be attributed to folate deficiency Such coexistence is described for the first time and could be accidental, but there is possible theoretical association between these two pathologies."
24433988,"[Misoprostol: off-label use in the first trimester of pregnancy (spontaneous abortion, and voluntary medical termination of pregnancy)].","State of knowledge about misoprostol's use out of its marketing authorization during the first trimester of pregnancy, in early miscarriage or to induce abortion or medical termination of pregnancy.
French and English publications were searched using PubMed, Cochrane Library and international learned societies recommendations.
Cervical ripening prior to surgical uterine evacuation during the first trimester of pregnancy facilitates cervical dilatation and reduces operative time and uterine retention risk. Misoprostol, mifepristone and osmotic cervical dilators are equally efficient. Concerning first trimester miscarriage, surgical uterine evacuation remains the most effective and the quickest method of treatment (EL 1). Depending on the clinical situation, medical treatment using misoprostol (missed miscarriage) or expectative attitude (incomplete miscarriage) does not increase the risk of complications, neither haemorrhagic nor infectious (EL 1). However, these alternatives generally require longer outpatient follow-up, which leads to more consultations, prolonged bleeding and not planned surgical procedures (EL 1). Concerning missed miscarriage, a vaginal dose of 800 μg of misoprostol, possibly repeated 24 to 48 hours later, seems to offer the best efficiency/tolerance ratio (EL 2). Concerning early abortion, medical method is a safe and efficient alternative to surgery (EL 2). Success rates are inversely proportional to gestational age (EL 2). According to the modalities of its marketing authorization, 400 μg of misoprostol can only be given by oral route, for less than 7 weeks of amenorrhea (WA) pregnancies and after 36 to 48 hours following 600 mg of mifepristone (EL 1). However, 200mg of mifepristone is as efficient as 600 mg (EL 1). Beyond 7WA, misoprostol buccal dissolution (sublingual or prejugal) or vaginal administration are more efficient and better tolerated than oral ingestion (EL 1). Between 7 and 9WA, the best protocol in terms of efficiency and tolerance is the association of 200mg of mifepristone followed 24 to 48 hours later by 800 μg of vaginal, sublingual or buccal misoprostol (EL 1). An additional dose of 400 μg can be given 3 hours later if necessary (EL 3). In case of buccal administration, the dose of 400 μg seems to offer the same efficiency with a better tolerance but further evaluation is needed (EL 2). Between 9 and 12WA, medical treatment is less efficient than surgery and its tolerance is lower (EL 2). However, a protocol of 200mg of mifepristone followed 36 to 48 hours later by 800 μg of vaginal or sublingual misoprostol, plus an additional 400 μg dose every 3-4 hours (until 4-5 doses maximum) seems safe and efficient (EL 5).
Misoprostol use during the first trimester of pregnancy is a safe and efficient alternative to surgery as long as detailed protocols adjusted to each clinical situation are respected."
24426326,An Audit of Management of Patients on Oral Anticoagulant Therapy With International Normalized Ratio (INR) Five or Above.,"Maintaining the international normalized ratio (INR) within the therapeutic range in patients on oral anticoagulant treatment is a challenge for the physician. Excessive anticoagulation poses the risk of bleeding in patients. Management strategies vary among clinicians although standard guidelines exist for the same. We conducted an audit in patients on oral anticoagulant therapy in our hospital with excessive anticoagulation. This retrospective study was carried out among patients on oral anticoagulant therapy for various thrombotic conditions with at least a single INR recording of 5 or more. Other than demographic details, the type of oral anticoagulant used, indication, duration of treatment, dosage and concomitant use of interacting drugs or alcohol were also recorded. Detail of the nature and site of bleed and management for the same was also noted. Data were analyzed using descriptive statistics. Fifty episodes with INR ≥ 5 (5.0-10.75) were noted in 44 patients (M:F = 1:1). Their age ranged from 20 to 88 years (mean 50.3 ± 16.4 years). The duration of anticoagulant therapy varied from 3 days to 180 months. Of the 43 episodes in patients who had no bleeding, the anticoagulant was stopped on 32 occasions for variable periods with dose reduction in the rest of the patients. Spontaneous bleeding was seen in seven patients (6 major and 1 minor). Among the seven patients with bleeding, other than stopping he oral anticoagulant drug, other measures taken were vitamin K therapy, fresh frozen plasma or packed red cell transfusion. Overall management strategy of patients with high INR was in compliance with standard recommendations."
15899352,StatPearls,"Labor is the process through which a fetus and placenta are delivered from the uterus through the vagina. Human labor divides into three stages. The first stage is further divided into two phases. Successful labor involves three factors: maternal efforts and uterine contractions, fetal characteristics, and pelvic anatomy. This triad is classically referred to as the passenger, power, and passage. Clinicians typically use multiple modalities to monitor labor. Serial cervical examinations are used to determine cervical dilation, effacement, and fetal position, also known as the station. Fetal heart monitoring is employed nearly continuously to assess fetal well-being throughout labor. Cardiotocography is used to monitor the frequency and adequacy of contractions. Medical professionals use the information they obtain from monitoring and cervical exams to determine the patient's stage of labor and monitor labor progression. "
33161246,GeneReviews,"Lipoid proteinosis (LP) is characterized by deposition of hyaline-like material in various tissues resulting in a hoarse voice from early infancy, vesicles and hemorrhagic crusts in the mouth and on the face and extremities, verrucous and keratotic cutaneous lesions on extensor surfaces (especially the elbows), and moniliform blepharosis (multiple beaded papules along the eyelid margins and inner canthus). Extracutaneous manifestations may include epilepsy, neuropsychiatric disorders, spontaneous CNS hemorrhage, and asymptomatic multiple yellowish nodules throughout the gastrointestinal tract. Generally, the disease course is chronic and fluctuating. Males and females are affected equally. Affected individuals have a normal life span unless they experience laryngeal obstruction.
The diagnosis of lipoid proteinosis is established in a proband with characteristic clinical findings and either biallelic 
LP is inherited in an autosomal recessive manner. If both parents are known to be heterozygous for an "
24349391,Pulsed estrogen therapy prevents post-OVX porcine dura mater microvascular network weakening via a PDGF-BB-dependent mechanism.,"In postmenopausal women, estrogen (E2) deficiencies are frequently associated with higher risk of intracranial hemorrhage, increased incidence of stroke, cerebral aneurysm, and decline in cognitive abilities. In younger postpartum women and those using oral contraceptives, perturbations in E2 are associated with higher risk of cerebral venous thrombosis. A number of serious intracranial pathologic conditions linked to E2 deficiencies, such as dural sinus thrombosis, dural fistulae, non-parenchymal intracranial hemorrhages, migraines, and spontaneous cerebrospinal fluid leaks, involve the vessels not of the brain itself, but of the outer fibrous membrane of the brain, the dura mater (DM). The pathogenesis of these disorders remains mysterious and how estrogen regulates structural and functional integrity of DM vasculature is largely unknown. Here, we demonstrate that post ovariectomy (OVX) DM vascular remodeling is manifested by microvessel destabilization, capillary rarefaction, increased vascular permeability, and aberrant angio-architecture, and is the result of disrupted E2-regulated PDGF-BB signaling within dura microvasculature. These changes, associated with the reduction in systemic PDGF-BB levels, are not corrected by a flat-dose E2 hormone replacement therapy (HRT), but are largely prevented using HRT schedules mimicking physiological E2 fluctuations. We demonstrate that 1) E2 regulates PDGF-BB production by endothelial cells in a dose-dependent manner and 2) optimization of PDGF-BB levels and induction of robust PDGF-mediated endothelial cell-vascular pericyte interactions require high (estrous) E2 concentrations. We conclude that high (estrous) levels of E2 are important in controlling PDGF-mediated crosstalk between endothelial cells and pericytes, a fundamental mechanism governing microvessel stability and essential for preserving intracranial homeostasis."
24282421,Metronomic capecitabine in patients with hepatocellular carcinoma unresponsive to or ineligible for sorafenib treatment: report of two cases.,"Sorafenib, an oral multikinase inhibitor, is the only systemic agent proven to be effective in patients with hepatocellular carcinoma (HCC). There are no approved second line systemic therapies in patients who have had disease progression on or are not eligible to sorafenib.
We describe two cases of unresectable HCC that were treated with low, ""metronomic"" doses of capecitabine. In the first patient, capecitabine was used after sorafenib failure. In the second case, treatment with capecitabine was attempted since the patient was considered not eligible for sorafenib due to spontaneous hepatic bleeding of a large HCC lesion. Treatment was effective and well tolerated in both patients with long-lasting objective responses.
Lacking established second-line therapy, metronomic capecitabine may be a valid alternative in the treatment of HCC patients who are judged not eligible for sorafenib or those having progression disease on sorafenib."
24232947,Hemorrhagic choroidal detachment after use of anti-glaucomatous eye drops: case report.,"Eighty-two-year-old patient with a pacemaker using warfarin due to arrhythmia and having an intraocular lens in the right eye, developed spontaneous hemorrhagic choroidal detachment one day after the use of combined preparation of 0.5% timolol maleate and 0.004% travoprost, due to primary open-angle glaucoma. Hemorrhagic detachment was detected by anterior and posterior segment examination, as well as B-scan ultrasonography. After the detachment, excessive increased intraocular pressure was controlled with oral carbonic anhydrase inhibitor, cycloplegic and steroid therapy. After four months, visual acuity was 20/20 and the intraocular pressure was under control with 0.5% timolol maleate and 1% brinzolamide. Controlled reduction of the intraocular pressure should be considered, particularly in older patients under anticoagulant therapy and that had undergone prior ocular surgery."
24063522,Spontaneous subperiosteal hematoma precipitated by anxiety attack.,"A 60-year-old woman presented with diplopia and left periorbital edema and pressure, which developed during an anxiety attack the previous day. Examination revealed left inferotemporal globe dystopia, periorbital edema, ecchymosis, and limitation in supraduction. Orbital MRI confirmed the diagnosis of a superior subperiosteal orbital hematoma. The patient's signs and symptoms rapidly resolved with administration of oral corticosteroids. The patient remains asymptomatic with complete resolution of orbital signs at 3-month follow-up. Subperiosteal orbital hematoma (SOH) is a rare condition in which blood accumulates between the bony orbit and separated periosteum, and is often due to blunt head trauma. Non-traumatic SOH (NTSOH) is exceedingly rare and usually associated with known coagulopathies or tendency to bleed. However, few cases of spontaneous NTSOH have been reported without any such predisposition and are thought to be caused by sudden elevations in intrathoracic and intracranial venous pressure such as vomiting, coughing, SCUBA diving, weight lifting and labor. We herein describe the presentation, radiography and outcome of a unique case of spontaneous NTSOH following an anxiety attack."
23921838,Epsilon aminocaproic acid prevents bleeding in severely thrombocytopenic patients with hematological malignancies.,"Despite prophylactic platelet transfusions, bleeding remains a significant problem in thrombocytopenic patients.
The antifibrinolytic agent epsilon aminocaproic acid (EACA) was administered to 44 chronically (median duration, 273 days) and severely (platelet count, 8 × 10(9)/L; range, 1 × 10(9)/L-19 × 10(9)/L) thrombocytopenic patients with hematological malignancies. Prophylactic EACA at a dose of 1 g twice daily was orally administered for a median duration of 47 days (range, 7 days-209 days) until the platelet count recovered to > 30; × 10(9) /L. Platelets were only transfused if bleeding occurred.
While receiving EACA, 59% of the patients did not bleed, 25% had 19 episodes of spontaneously resolving minor bleeding that did not require platelet transfusion, and 16% received a median of 4 platelet transfusions (range, 1 transfusion-8 transfusions) for 1 major traumatic and 9 spontaneous grade 2 to grade 3 bleeding (based on the World Health Organization classification of idiopathic thrombocytopenic purpura). No EACA toxicities were noted, and venous thromboses were not observed.
EACA is well tolerated and is associated with a low risk of major bleeding in patients with hematological malignancies who are experiencing chronic severe thrombocytopenia."
23908961,Intramural hematomas of the gastrointestinal system: a 5-year single center experience.,"Although spontaneous intramural hematomas of the gastrointestinal tract are very rare, they may be observed with the use of oral anticoagulant, though less frequently in cases of hematological malignancy and other bleeding disorders. Cases diagnosed as spontaneous intramural hematoma have been assessed in our clinic.
The cases, which were diagnosed as spontaneous intramural hematoma in the gastrointestinal tract (SIHGT) following anamnesis, physical examination, biochemical, radiological and endoscopic findings from July 2008 to July 2012, have been assessed retrospectively.
Seven out of 13 cases were women and the mean age was 65.1 years (34 to 82 years). The most frequent complaint on admission was abdominal pain. The most frequent location of SIHGT was the ileum (n = 8). Oral anticoagulant use was the most common cause of etiology (n = 12). In 10 cases, International normalized ratio values were higher than treatment range (2 to 3, where mechanical valve replacement was 2.5 to 3.5) and mean value was 7.6 (1.70 to 23.13). While 12 cases were discharged without problems with medical treatment, one case with acute myeloid leukemia died in the intensive care unit following cerebrovascular attack.
Spontaneus bleeding and hematomas that may arise in connection with bleeding diathesis may be fatal in cases with long-term oral anticoagulant treatment and insufficient follow-up. In management of these cases, it may be necessary to arrange conservative follow up and/or initialize low molecular weight heparin, and administer vitamin K as well as replace blood products and coagulation factors when indicated."
23906054,Prevalence of atrial fibrillation in intracerebral hemorrhage.,"Oral anticoagulation (OAC) is an effective preventive therapy for ischemic stroke in atrial fibrillation (AF). The management of anticoagulation in AF patients with previous intracerebral hemorrhage (ICH) is challenging. The aim of this study was to determine the prevalence of AF after acute ICH in a consecutive monocenter cohort, and to document the subsequent management with respect to OAC.
Consecutive patients with spontaneous ICH were prospectively included within 19 months. Diagnosis of AF was based on medical history, 12-lead electrocardiogram (ECG), 24-h and continuous ECG monitoring. CHADS₂ scores and patient medication were recorded at admission and after 3 months. Additionally, after 3 months mortality, the management of anticoagulation and a newly detected AF were assessed.
In total, 206 ICH patients were eligible for data analysis. After 3 months, AF had been diagnosed in 64/206 ICH patients (31.1%). Mortality after 3 months was higher in patients with AF in univariate analysis (45.3% vs. 31.0%). After adjusting for comorbidities and OAC use, AF did not remain an independent predictor for mortality. In total, 35 patients with AF survived 3 months. Of these, CHADS₂ score was 2 (2/3, median, interquartile range (IQR)) and 27/35 patients had an indication for OAC with respect to the CHADS₂ score, but only 25.7% had been (re-)started on OAC. No consistent factors for deciding whether to initiate OAC treatment could be identified.
Atrial fibrillation is a frequent comorbidity in patients suffering an ICH. Our findings underline the prevailing uncertainty regarding the anticoagulation management of AF after ICH."
23702507,"Spontaneous retroperitoneal and subcapsular liver hematoma. The diagnostic contribution of CT, US and CEUS. Case report.","We present the case of a patient undergoing long-time treatment with oral anticoagulants for a severe vascular pathology who had a major subcapsular liver bleeding as well as retroperitoneal bleeding. The purpose of the paper is to present the specific characteristics of this case, to review the literature that concentrates on spontaneous bleedings and to show the role of contrast-enhanced ultrasonography as a useful, non invasive imaging method in excluding active hemorrhage and its value in the non-surgical management of the case."
23645221,Intracerebral hemorrhage during anticoagulation with vitamin K antagonists: a consecutive observational study.,"Intracerebral hemorrhage (ICH) is the most devastating complication of oral anticoagulation (OAC). As the number of patients on long-term OAC is expected to rise, the proportion of intracerebral hemorrhage related to OAC (OAC-ICH) in relation to spontaneous ICH (spont-ICH) is expected to increase as well. We determined the proportion of OAC-ICH in consecutive stroke patients and explored differences between OAC-ICH and spont-ICH regarding initial volume, hematoma expansion and outcome. Our prospective study consecutively enrolled patients with supra- and infratentorial ICH. The National Institute of Health Stroke Scale Score and the modified Rankin Scale (mRS) score at baseline and after 3 months, medical history and demographic variables were recorded. All admission and follow-up CTs/MRIs were analysed regarding ICH volume using the ABC/2-method. Intraventricular hemorrhage (IVH) was quantified using the Graeb score. Within 19 months, 2,282 patients were admitted to our ER. 206 ICH patients were included. Overall, 24.8 % of all ICH were related to OAC. Compared to patients with spont-ICH, OAC-ICH patients were older (p = 0.001), more frequently had initial extension of ICH into the ventricles (p = 0.05) or isolated primary IVH (p = 0.03) and a higher Graeb score upon admission (p = 0.01). In contrast, initial ICH volume (p = 0.16) and ICH expansion (p = 0.9) in those receiving follow-up imaging (n = 152) did not differ between the two groups. After correction for age, there was a trend towards poorer outcome in OAC-ICH (p = 0.08). One-fourth of all ICH are related to OAC. Initial extension of ICH into the ventricles and primary IVH are more frequent in OAC-ICH. The rate of hematoma expansion in OAC-ICH patients is similar to non-anticoagulated ICH patients."
23108264,Oral anticoagulation and the risk of vitreous hemorrhage and retinal tears in eyes with acute posterior vitreous detachment.,"To determine if oral anticoagulation alters the association between vitreous hemorrhage (VH) and retinal tears in eyes with acute, posterior vitreous detachment (PVD).
In this retrospective chart review, the complete records of consecutive patients with spontaneous, symptomatic acute PVD from a single referral-based practice were reviewed. The use of oral anticoagulants, the presence of a VH, and the presence of a retinal tear or detachment were recorded.
A total of 336 consecutive eligible patients (336 eyes) were included in the final analysis. Vitreous hemorrhage occurred in 118 (35%) eyes; in 43% of patients taking aspirin, clopidogrel, or warfarin versus 31% not taking these medications (P = 0.03). Retinal tears occurred in 46% of patients with VH versus 27% of patients without VH (P = 0.0007). Retinal tears occurred in 39% of patients with VH taking aspirin, clopidogrel, or warfarin compared with 52% of patients not taking these medications. (P = 0.20) A decreased proportion of patients with acute PVD taking one or more of the oral anticoagulant medications studied, regardless of the presence of VH, were diagnosed with a retinal tear (P = 0.0017) or retinal detachment (P = 0.0001).
Retinal tears are commonly found (46%) in the eyes of patients who present with symptoms and signs of acute PVD and VH. Patients taking aspirin, clopidogrel, or warfarin who develop an acute PVD are more likely to present with VH. No statistically significant association was demonstrated between the use of oral anticoagulants in patients with acute PVD and VH and the presence of retinal tears or retinal detachment."
22983024,The etiology of small and fresh rectal bleeding in not-sick neonates: should we initially suspect food protein-induced proctocolitis?,"This study was performed to identify the cause and frequency of food protein-induced proctocolitis (FPIPC) in not-sick neonates with small and fresh rectal bleeding and to verify the effectiveness of oral food elimination and challenge test (ECT) as a diagnostic method of FPIPC. We prospectively analyzed neonates with small and fresh rectal bleeding who were clinically normal. We investigated age at symptom onset, feeding at onset of bleeding, the time of bleeding disappearance, stool smear and culture, endoscopic findings, and histopathologies in the biopsy specimens of 16 not-sick neonates. We performed food ECT in cases with over 4 days of persistent rectal bleeding in the absence of any other etiology. In 16 not-sick neonates with rectal bleeding, the median age at symptom onset was 8.5 (1-43) days. Endoscopic abnormalities were observed in all 16 patients, and in 10 cases satisfying the pathological guidelines for FPIPC, two (12.5 %) were confirmed as FPIPC by food ECT. In the other 14 (87.5 %) cases, rectal bleeding spontaneously disappeared after on average at 4 (1-8) days and thus was diagnosed as idiopathic neonatal transient colitis (INTC).
FPIPC is rare as a cause of small and fresh rectal bleeding in not-sick newborns and most of cases proved to be INTC. Although clinical findings are suspected as its symptoms and histological results satisfy its diagnostic criteria, FPIPC should be carefully confirmed through food ECT."
22939328,Case report of spontaneous hemorrhage in a sublingual arteriovenous malformation causing an emergent airway obstruction.,"The literature is devoid of articles on spontaneous orofacial hemorrhage with hematoma formation without an underlying condition. Rupture of an arteriovenous malformation (AVM) is possibly the rarest form of spontaneous hemorrhage and life-threatening hematoma formation. This pathology is widely known because of its occurrence in the central nervous system, but it can appear in any location. AVM is not generally thought to be an inherited disorder, except in the context of a specific hereditary syndrome. AVMs can be seen using computerized tomographic angiography, but distraction angiography is the gold standard for diagnosis and treatment decision making. Surgery is the mainstay of treatment; however, endovascular embolization has become an important adjunct to surgical intervention. With shrinkage of the lesion or definitive treatment with coils, particles, or glue. Other important considerations in the choice of treatment are the patient's age, lesion size and location, and prior history of hemorrhage."
